t  jih jiv jdh jdv
button
0   0  0  0  0
1.0   0   0.5  0   -0.5
2.0   0   0.5  0   -0.5
2.5   0   0.5  0   -0.5
3.0   0   0   0   0
4.0   0   0   1   0
5.0   0   0   1   0
5.5   0   0   1   0
6.0   0   0   1   0
6.5   0   0   0   0
7.0   0   0   0   0.5
8.0   0   0   0   0.5
9.0   0   0   0   0
10.0   0   0   1   0
12.0   0   0   1   0
13.0   0   0   0   0
14.0   0   0   -1   0
15.0   0   0   -1   0
16.0   0   0   0   0
17.0   0   0   0   -0.5
17.5   0   0   0   -0.5
18.0   0   0   0   0
19.0   0   0   1  0
20.0   0   0   1   0
21.0   0   0   0   0
22.0   0   0   0   -0.5
22.5   0   0   0   -0.5
23.0   0   0   0   0
24.0   0   0   -1   0
25.0   0   0   -1   0
26.0   0   0   0   0
27.0   0   0   1   0
29.0   0   0   1   0
30.0   0   0   0   0
31.0   0   0   0   0.5
32.0   0   0   0   0.5
33.0   0   0   0   0
34.0   0   0   0.75   0
35.0   0   0   0   0
36.0   0   0   0.75   -0.3
37.0   0   0   0   0
38.0   0   0   0.75   0.3
38.7   0   0   0.75   0.3
39.0   0   0   0   0
40.0   0   0   0.75   0
41.0   0   0   0   0
42.0   0   0   0   -1
42.5   0   0   0   -1
43.0   0   0   0   0
button
